round,winner,results,year,gender,player1,player2,country1,country2,firstServe1,firstServe2,ace1,ace2,double1,double2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,fastServe1,fastServe2,avgFirstServe1,avgFirstServe2,avgSecServe1,avgSecServe2,break1,break2,return1,return2,total1,total2,winner1,winner2,error1,error2,net1,net2,FirstandSecondPointWon1,FirstandSecondPointWon2,,,,,,,,
First,Kei Nishikori,6-1 6-4 6-7(4) 6-4,2011,m,Kei Nishikori,Fabio Fognini,JPN,ITA,69,62,6,3,3,5,69,63,50,43,189,197,166,167,134,135,53,21,43,36,142,122,36,34,52,64,65,68,34.5,27.09,,,,,,,,
First,Fernando Verdasco,6-1 6-3 6-2,2011,m,Fernando Verdasco,Rainer Schuettler,ESP,GER,62,55,8,5,1,5,86,65,58,35,212,192,186,169,147,142,43,0,46,25,94,63,33,27,18,35,64,52,49.88,22.75,,,,,,,,
First,Ivan Ljubicic,6-3 6-3 7-6(2),2011,m,Ivan Ljubicic,Peter Luczak,CRO,AUS,61,60,19,8,1,2,86,71,64,43,209,198,190,182,157,151,25,0,39,23,118,91,57,34,38,31,64,53,55.04,30.53,,,,,,,,
First,Novak Djokovic,6-1 6-3 6-1,2011,m,Novak Djokovic,Marcel Granollers,SRB,ESP,67,48,7,3,1,3,75,68,68,24,206,207,194,188,155,143,58,50,53,27,84,47,34,15,17,26,68,55,51,16.32,,,,,,,,
First,Andy Roddick,6-1 6-2 6-2,2011,m,Andy Roddick,Jan Hajek,USA,CZE,68,58,18,2,2,3,80,58,54,35,219,200,199,173,184,138,46,0,49,28,91,57,31,18,23,37,100,61,43.2,20.3,,,,,,,,
First,Juan Monaco,7-6(5) 7-6(4) 6-2,2011,m,Juan Monaco,Simon Greul,ARG,GER,72,59,5,3,1,7,67,57,48,42,201,203,173,188,146,146,33,50,47,38,128,105,26,37,42,70,67,73,32.16,23.94,,,,,,,,
First,Gael Monfils,6-7(5) 2-6 7-5 6-2 6-1,2011,m,Gael Monfils,Thiemo de Bakker,FRA,NED,64,62,13,14,4,5,76,63,49,40,203,214,176,192,150,148,32,56,44,33,174,148,55,57,33,71,58,60,37.24,25.2,,,,,,,,
First,Mardy Fish,2-6 4-6 6-3 7-5 6-3,2011,m,Mardy Fish,Victor Hanescu,USA,ROU,57,75,12,10,3,1,77,67,50,54,205,203,181,186,141,153,46,42,36,34,143,141,70,52,50,42,75,61,38.5,36.18,,,,,,,,
First,Lukasz Kubot,5-7 6-2 3-6 6-1 8-6,2011,m,Lukasz Kubot,Sam Querrey,POL,USA,68,67,7,19,8,4,75,63,41,51,203,212,183,186,150,144,54,33,40,34,175,158,75,51,47,25,71,71,30.75,32.13,,,,,,,,
First,Gilles Simon,6-7(3) 6-2 6-4 6-2,2011,m,Gilles Simon,Yen-Hsun Lu,FRA,TPE,49,60,6,3,2,4,77,66,59,46,200,197,176,183,130,154,55,17,41,31,138,113,47,43,35,63,82,71,45.43,30.36,,,,,,,,
First,Roger Federer,6-1 6-1 6-3,2011,m,Roger Federer,Lukas Lacko,SUI,SVK,64,67,8,3,1,1,87,59,67,22,206,202,183,186,151,149,50,100,52,20,91,51,37,11,18,27,80,50,58.29,12.98,,,,,,,,
Final,Novak Djokovic,5-7 6-4 6-2 6-7(5) 7-5,2012,m,Novak Djokovic,Rafael Nadal,SRB,ESP,59,67,9,10,2,4,68,66,63,45,202,204,190,183,150,136,35,67,41,34,193,176,57,44,69,71,74,84,42.84,29.7,,,,,,,,
semi,Novak Djokovic,6-3 3-6 6-7(4) 6-1 7-5,2012,m,Novak Djokovic,Andy Murray,SRB,GBR,61,63,11,9,6,10,66,64,45,30,203,215,189,184,157,139,42,29,49,42,184,161,49,47,69,86,75,70,29.7,19.2,,,,,,,,
semi,Rafael Nadal,6-7(5) 6-2 7-6(5) 6-4,2012,m,Rafael Nadal,Roger Federer,ESP,SUI,77,64,4,11,1,5,69,66,63,55,194,207,172,185,137,154,38,30,38,33,146,130,36,46,34,63,33,61,43.47,36.3,,,,,,,,
quarter,Novak Djokovic,6-4 7-6(4) 6-1,2012,m,Novak Djokovic,David Ferrer,SRB,ESP,53,65,3,2,0,1,71,61,67,50,199,193,186,178,151,145,42,50,43,31,105,84,35,18,39,36,78,50,47.57,30.5,,,,,,,,
quarter,Andy Murray,6-3 6-3 6-1,2012,m,Andy Murray,Kei Nishikori,GBR,JPN,44,60,4,1,3,2,78,54,58,37,211,192,176,175,141,136,39,20,53,33,104,71,36,30,27,39,84,59,45.24,19.98,,,,,,,,
quarter,Roger Federer,6-4 6-3 6-2,2012,m,Roger Federer,Juan Martin Del Potro,SUI,ARG,57,67,5,5,1,3,89,57,58,55,200,207,180,192,151,151,63,17,44,25,96,68,38,20,22,27,75,73,51.62,31.35,,,,,,,,
quarter,Rafael Nadal,6-7(5) 7-6(6) 6-4 6-3,2012,m,Rafael Nadal,Tomas Berdych,ESP,CZE,71,62,6,17,2,5,76,74,49,45,200,219,178,193,137,153,38,15,37,32,157,147,57,66,30,56,77,53,37.24,33.3,,,,,,,,
Fourth,Novak Djokovic,6-1 6-3 4-6 6-3,2012,m,Novak Djokovic,Lleyton Hewitt,SRB,AUS,62,53,15,3,3,6,73,68,56,36,202,195,191,171,153,139,67,67,47,33,126,100,55,23,34,37,52,79,40.88,24.48,,,,,,,,
Fourth,David Ferrer,6-4 6-4 6-1,2012,m,David Ferrer,Richard Gasquet,ESP,FRA,63,71,5,1,3,3,87,52,37,50,192,208,179,174,141,144,78,67,49,32,90,65,36,16,23,27,86,56,32.19,26,,,,,,,,
Fourth,Andy Murray,6-1 6-1 1-0 ret.,2012,m,Andy Murray,Mikhail Kukushkin,GBR,KAZ,65,70,4,0,0,0,68,18,58,50,211,191,170,159,144,136,64,67,64,35,52,25,17,5,15,27,67,60,39.44,9,,,,,,,,
Fourth,Kei Nishikori,2-6 6-2 6-1 3-6 6-3,2012,m,Kei Nishikori,Jo-Wilfried Tsonga,JPN,FRA,66,59,1,13,5,3,70,68,53,42,197,224,170,192,133,139,32,33,42,36,141,128,37,50,30,70,58,59,37.1,28.56,,,,,,,,
Fourth,Juan Martin Del Potro,6-4 6-2 6-1,2012,m,Juan Martin Del Potro,Philipp Kohlschreiber,ARG,GER,64,55,6,3,1,3,80,67,56,23,209,202,187,178,146,130,44,33,53,29,95,61,31,28,14,29,62,63,44.8,15.41,,,,,,,,
Fourth,Roger Federer,6-4 6-2 6-2,2012,m,Roger Federer,Bernard Tomic,SUI,AUS,58,75,13,0,3,2,84,56,56,38,206,196,188,174,153,137,60,20,48,28,101,70,45,13,28,32,76,38,47.04,21.28,,,,,,,,
Fourth,Tomas Berdych,4-6 7-6(5) 7-6(3) 7-6(2),2012,m,Tomas Berdych,Nicolas Almagro,CZE,ESP,56,58,28,16,4,3,87,76,59,58,217,213,194,190,148,138,11,22,32,26,161,145,70,54,41,41,76,75,51.33,44.08,,,,,,,,
Fourth,Rafael Nadal,6-4 6-4 6-2,2012,m,Rafael Nadal,Feliciano Lopez,ESP,ESP,80,57,4,10,1,6,81,66,64,38,199,215,175,200,134,161,28,25,46,23,105,75,20,26,14,52,71,72,51.84,25.08,,,,,,,,
Third,Novak Djokovic,6-0 6-1 6-1,2012,m,Novak Djokovic,Nicolas Mahut,SRB,FRA,62,65,7,0,1,5,84,49,70,22,204,199,186,182,152,159,62,0,61,21,81,37,31,12,8,26,67,45,58.8,10.78,,,,,,,,
Third,Lleyton Hewitt,4-6 6-3 7-6(5) 6-3,2012,m,Lleyton Hewitt,Milos Raonic,AUS,CAN,57,53,7,23,7,6,74,77,54,52,197,228,168,208,138,167,60,25,35,35,129,122,27,58,32,54,68,51,39.96,40.04,,,,,,,,
Third,Richard Gasquet,6-3 6-3 6-1,2012,m,Richard Gasquet,Janko Tipsarevic,FRA,SRB,60,49,6,5,1,1,71,51,74,47,202,197,174,184,144,138,50,100,51,28,87,56,33,24,8,33,85,63,52.54,23.97,,,,,,,,
Third,David Ferrer,7-5 6-2 6-1,2012,m,David Ferrer,Juan Ignacio Chela,ESP,ARG,55,64,1,1,3,1,65,53,55,26,197,191,177,165,141,134,62,50,57,39,100,70,43,18,30,31,68,57,35.75,13.78,,,,,,,,
Third,Andy Murray,6-4 6-2 6-0,2012,m,Andy Murray,Michael Llodra,GBR,FRA,60,58,7,2,2,3,70,71,71,18,218,207,182,182,142,157,46,0,51,30,94,61,48,18,11,23,78,50,49.7,12.78,,,,,,,,
Third,Mikhail Kukushkin,6-2 7-5 5-7 1-6 6-4,2012,m,Mikhail Kukushkin,Gael Monfils,KAZ,FRA,66,65,5,9,2,11,64,64,47,38,201,199,172,158,125,142,35,53,45,42,158,149,61,43,72,55,61,53,30.08,24.32,,,,,,,,
Third,Kei Nishikori,4-6 7-6(3) 7-6(4) 6-3,2012,m,Kei Nishikori,Julien Benneteau,JPN,FRA,70,67,4,7,4,3,68,60,50,42,194,201,168,170,133,133,54,86,46,37,148,129,50,54,30,51,57,60,34,25.2,,,,,,,,
Third,Jo-Wilfried Tsonga,6-2 6-2 6-2,2012,m,Jo-Wilfried Tsonga,Frederico Gil,FRA,POR,54,71,6,0,1,1,84,48,63,60,215,182,188,164,144,137,86,0,49,26,85,53,35,13,20,20,67,47,52.92,28.8,,,,,,,,
Third,Philipp Kohlschreiber,6-3 6-2 7-6(3),2012,m,Philipp Kohlschreiber,Alejandro Falla,GER,COL,52,66,4,1,0,1,79,65,64,39,211,195,180,173,145,128,63,33,44,28,110,81,31,22,33,37,83,71,50.56,25.35,,,,,,,,
Third,Bernard Tomic,4-6 7-6(0) 7-6(6) 2-6 6-3,2012,m,Bernard Tomic,Alexandr Dolgopolov,AUS,UKR,69,45,13,22,2,3,63,78,56,53,198,209,178,193,145,135,44,33,36,39,174,174,41,80,61,78,62,70,35.28,41.34,,,,,,,,
Third,Roger Federer,7-6(6) 7-5 6-3,2012,m,Roger Federer,Ivo Karlovic,SUI,CRO,62,71,9,15,0,3,80,76,74,34,203,211,182,199,150,169,33,0,36,22,120,98,55,40,13,35,69,52,59.2,25.84,,,,,,,,
Third,Tomas Berdych,7-6(5) 7-6(1) 6-1,2012,m,Tomas Berdych,Kevin Anderson,CZE,RSA,53,69,14,16,6,5,81,71,64,41,220,210,197,192,153,167,18,0,39,27,124,102,49,41,28,40,76,44,51.84,29.11,,,,,,,,
Third,Nicolas Almagro,7-6(2) 6-2 6-4,2012,m,Nicolas Almagro,Stanislas Wawrinka,ESP,SUI,56,53,6,4,0,2,72,57,63,47,212,202,187,173,143,133,38,100,47,32,116,90,31,30,26,49,67,50,45.36,26.79,,,,,,,,
Third,Feliciano Lopez,6-3 6-7(3) 6-4 6-7(0) 6-1,2012,m,Feliciano Lopez,John Isner,ESP,USA,56,73,16,30,12,3,76,72,64,44,216,217,192,197,162,175,55,25,35,29,160,140,55,64,30,51,71,64,48.64,31.68,,,,,,,,
Third,Rafael Nadal,6-2 6-4 6-2,2012,m,Rafael Nadal,Lukas Lacko,ESP,SVK,81,67,2,8,0,3,85,60,46,42,197,202,172,179,132,151,50,20,46,22,89,57,27,17,19,30,75,70,39.1,25.2,,,,,,,,
Second,Novak Djokovic,6-3 6-2 6-1,2012,m,Novak Djokovic,Santiago Giraldo,SRB,COL,55,52,9,3,2,3,81,63,66,31,201,200,188,183,148,148,54,50,52,26,86,52,27,13,21,39,69,50,53.46,19.53,,,,,,,,
Second,Nicolas Mahut,1-6 7-6(6) 6-2 6-2,2012,m,Nicolas Mahut,Tatsuma Ito,FRA,JPN,69,62,8,3,2,5,64,62,37,44,192,205,166,170,137,139,44,55,45,45,123,123,28,39,46,54,64,53,23.68,27.28,,,,,,,,
Second,Milos Raonic,6-4 5-7 6-2 7-5,2012,m,Milos Raonic,Philipp Petzschner,CAN,GER,54,54,17,10,6,4,81,79,54,40,225,214,204,187,165,138,71,18,39,32,136,122,47,38,38,44,53,66,43.74,31.6,,,,,,,,
Second,Lleyton Hewitt,3-6 6-3 6-4 ret.,2012,m,Lleyton Hewitt,Andy Roddick,AUS,USA,58,62,11,9,2,2,82,68,52,54,195,219,172,193,138,166,43,40,37,31,88,81,41,28,27,22,68,44,42.64,36.72,,,,,,,,
Second,Janko Tipsarevic,3-6 6-2 7-6(5) 6-4,2012,m,Janko Tipsarevic,James Duckworth,SRB,AUS,56,66,11,10,3,6,80,66,61,44,199,207,184,174,145,129,31,60,41,29,135,115,42,45,31,53,71,69,48.8,29.04,,,,,,,,
Second,Richard Gasquet,6-4 6-2 3-0 ret.,2012,m,Richard Gasquet,Andrey Golubev,FRA,KAZ,60,66,5,4,0,5,78,46,50,46,204,193,177,169,143,153,35,100,54,33,84,58,33,27,10,27,68,62,39,21.16,,,,,,,,
Second,Juan Ignacio Chela,6-4 6-4 6-3,2012,m,Juan Ignacio Chela,Pablo Andujar,ARG,ESP,70,57,1,0,3,6,60,51,52,39,187,191,161,172,129,145,53,42,54,43,103,82,17,33,27,62,64,70,31.2,19.89,,,,,,,,
Second,David Ferrer,6-7(4) 6-2 3-6 6-2 6-3,2012,m,David Ferrer,Ryan Sweeting,ESP,USA,67,63,6,5,6,9,68,64,54,45,190,207,171,183,142,154,70,30,43,37,155,137,36,48,37,73,53,74,36.72,28.8,,,,,,,,
Second,Andy Murray,6-1 6-4 6-4,2012,m,Andy Murray,Edouard Roger-Vasselin,GBR,FRA,68,56,9,2,2,2,85,66,60,43,217,195,181,182,140,149,33,0,44,23,101,71,41,29,19,33,78,67,51,28.38,,,,,,,,
Second,Mikhail Kukushkin,5-7 6-4 6-2 4-6 6-3,2012,m,Mikhail Kukushkin,Viktor Troicki,KAZ,SRB,63,53,5,7,3,2,71,63,55,53,197,210,173,184,126,132,39,45,42,35,154,138,48,32,56,64,49,63,39.05,33.39,,,,,,,,
Second,Gael Monfils,2-6 6-0 6-4 6-2,2012,m,Gael Monfils,Thomaz Bellucci,FRA,BRA,61,56,3,1,5,2,69,62,49,42,210,200,175,178,148,144,44,25,47,39,121,103,34,29,37,53,62,61,33.81,26.04,,,,,,,,
Second,Julien Benneteau,7-5 7-6(8) 1-6 3-6 6-2,2012,m,Julien Benneteau,Gilles Simon,FRA,FRA,63,64,6,3,6,3,63,64,50,48,203,201,174,159,131,132,39,47,42,42,163,165,58,55,55,40,66,63,31.5,30.72,,,,,,,,
Second,Kei Nishikori,3-6 1-6 6-4 6-1 6-1,2012,m,Kei Nishikori,Matthew Ebden,JPN,AUS,67,66,2,6,3,2,61,67,52,40,197,200,168,179,137,142,42,50,42,42,127,126,38,31,57,54,56,64,31.72,26.8,,,,,,,,
Second,Jo-Wilfried Tsonga,7-5 6-4 6-4,2012,m,Jo-Wilfried Tsonga,Ricardo Mello,FRA,BRA,73,51,15,2,3,7,74,67,52,51,214,180,183,162,138,135,50,33,41,32,102,86,54,18,44,19,76,62,38.48,34.17,,,,,,,,
Second,Alejandro Falla,7-6(4) 6-3 7-6(6),2012,m,Alejandro Falla,Mardy Fish,COL,USA,59,62,5,5,1,0,65,62,58,49,198,213,171,181,135,144,83,36,43,38,116,102,30,35,34,58,77,61,37.7,30.38,,,,,,,,
Second,Philipp Kohlschreiber,6-0 4-0 ret.,2012,m,Philipp Kohlschreiber,Pere Riba,GER,ESP,77,42,1,0,1,2,90,47,50,24,203,195,174,178,152,137,71,0,67,19,45,17,16,5,7,18,100,43,45,11.28,,,,,,,,
Second,Juan Martin Del Potro,6-4 7-5 6-3,2012,m,Juan Martin Del Potro,Blaz Kavcic,ARG,SLO,64,57,14,3,5,9,76,67,48,32,207,210,186,179,144,149,58,100,48,34,109,86,41,22,35,38,60,69,36.48,21.44,,,,,,,,
Second,Alexandr Dolgopolov,4-6 6-1 6-1 3-6 8-6,2012,m,Alexandr Dolgopolov,Tobias Kamke,UKR,GER,61,59,16,2,4,9,76,57,43,55,212,192,189,175,129,151,45,38,44,37,163,143,61,30,73,63,70,57,32.68,31.35,,,,,,,,
Second,Bernard Tomic,3-6 6-3 7-6(3) 6-3,2012,m,Bernard Tomic,Sam Querrey,AUS,USA,68,62,6,22,1,7,77,85,66,40,198,218,174,199,141,151,30,67,32,27,125,112,30,52,29,50,82,60,50.82,34,,,,,,,,
Second,Tomas Berdych,6-1 6-0 7-6(4),2012,m,Tomas Berdych,Olivier Rochus,CZE,BEL,58,60,21,1,1,0,91,60,58,53,215,176,191,163,151,134,63,0,43,23,94,64,47,10,36,19,71,89,52.78,31.8,,,,,,,,
Second,Stanislas Wawrinka,7-6(3) 6-4 5-7 6-1,2012,m,Stanislas Wawrinka,Marcos Baghdatis,SUI,CYP,51,52,4,1,5,8,72,58,49,45,210,205,185,184,150,149,53,42,48,39,146,124,41,19,67,59,65,60,35.28,26.1,,,,,,,,
Second,Nicolas Almagro,4-6 6-3 6-7(4) 6-4 6-0,2012,m,Nicolas Almagro,Grigor Dimitrov,ESP,BUL,64,58,9,13,2,5,70,71,63,39,207,211,183,188,141,157,36,43,42,33,163,138,43,49,39,51,64,70,44.1,27.69,,,,,,,,
Second,John Isner,4-6 6-3 2-6 7-6(5) 10-8,2012,m,John Isner,David Nalbandian,USA,ARG,63,64,43,7,2,5,72,73,51,58,224,196,198,175,166,147,40,33,33,36,181,187,88,67,69,33,54,73,36.72,42.34,,,,,,,,
Second,Feliciano Lopez,7-5 7-6(4) 6-2,2012,m,Feliciano Lopez,Flavio Cipolla,ESP,ITA,53,84,6,0,5,2,75,54,50,56,212,170,187,149,151,124,50,43,46,37,111,92,34,32,34,36,71,55,37.5,30.24,,,,,,,,
Second,Lukas Lacko,6-3 6-1 3-6 6-3,2012,m,Lukas Lacko,Donald Young,SVK,USA,64,57,9,2,1,2,72,68,64,48,201,196,178,163,141,131,42,20,41,31,116,94,45,27,38,37,82,62,46.08,32.64,,,,,,,,
Second,Rafael Nadal,6-4 6-3 6-4,2012,m,Rafael Nadal,Tommy Haas,ESP,GER,64,63,2,8,2,4,75,61,55,46,196,203,176,187,135,156,60,50,45,33,96,78,36,30,17,38,82,55,41.25,28.06,,,,,,,,
First,Novak Djokovic,6-2 6-0 6-0,2012,m,Novak Djokovic,Paolo Lorenzi,SRB,ITA,73,52,4,0,1,5,73,56,47,7,197,188,178,177,147,145,69,20,67,34,82,41,22,10,13,30,81,58,34.31,3.92,,,,,,,,
First,Tatsuma Ito,6-3 4-6 6-3 6-4,2012,m,Tatsuma Ito,Potito Starace,JPN,ITA,58,71,11,9,3,3,80,68,55,60,208,192,178,173,134,143,56,29,34,30,113,102,44,29,28,32,61,73,44,40.8,,,,,,,,
First,Nicolas Mahut,7-5 7-5 6-3,2012,m,Nicolas Mahut,Radek Stepanek,FRA,CZE,59,68,7,3,4,3,79,59,38,42,199,192,181,173,142,146,38,33,46,38,116,97,40,38,23,22,62,55,30.02,24.78,,,,,,,,
First,Lleyton Hewitt,7-5 6-4 3-6 7-5,2012,m,Lleyton Hewitt,Cedrik-Marcel Stebe,AUS,GER,55,59,8,13,2,6,76,66,49,50,196,196,173,181,140,143,32,40,40,36,144,137,29,59,33,64,63,62,37.24,33,,,,,,,,
First,Andy Roddick,6-3 6-4 6-1,2012,m,Andy Roddick,Robin Haase,USA,NED,72,51,13,7,1,6,73,67,64,38,224,203,198,190,159,150,46,20,47,29,91,63,35,30,20,32,62,47,46.72,25.46,,,,,,,,
First,James Duckworth,6-3 6-4 6-4,2012,m,James Duckworth,Jurgen Zopp,AUS,EST,63,60,11,6,3,4,79,67,58,48,212,204,165,179,131,143,44,25,40,29,94,72,24,19,24,33,59,58,45.82,32.16,,,,,,,,
First,Richard Gasquet,6-3 3-6 6-3 6-1,2012,m,Richard Gasquet,Andreas Seppi,FRA,ITA,65,51,10,8,3,6,78,60,44,45,201,195,174,174,140,132,41,50,47,34,117,93,44,31,45,44,55,62,34.32,27,,,,,,,,
First,Juan Ignacio Chela,7-6(3) 6-3 6-4,2012,m,Juan Ignacio Chela,Michael Russell,ARG,USA,58,61,5,3,1,7,62,56,61,47,191,196,163,162,131,140,50,45,47,38,128,106,28,48,26,72,57,73,37.82,26.32,,,,,,,,
First,David Ferrer,6-1 6-4 6-2,2012,m,David Ferrer,Rui Machado,ESP,POR,59,67,2,0,1,4,85,50,50,41,192,188,169,157,139,125,78,50,53,29,91,58,15,20,20,52,50,40,42.5,20.5,,,,,,,,
First,Andy Murray,4-6 6-3 6-4 6-2,2012,m,Andy Murray,Ryan Harrison,GBR,USA,54,62,7,9,5,8,71,66,60,48,213,215,175,191,136,163,33,29,41,34,129,113,39,47,40,61,70,68,42.6,31.68,,,,,,,,
First,Gael Monfils,7-6(5) 6-3 6-3,2012,m,Gael Monfils,Marinko Matosevic,FRA,AUS,54,55,12,3,6,7,72,66,51,37,213,196,173,176,139,137,45,20,47,38,122,102,32,34,31,53,58,69,36.72,24.42,,,,,,,,
First,Gilles Simon,6-1 3-6 6-7(5) 6-3 6-2,2012,m,Gilles Simon,Danai Udomchoke,FRA,THA,54,61,14,4,2,4,67,58,63,49,197,198,172,168,126,139,77,45,46,35,150,121,53,31,51,54,68,76,42.21,28.42,,,,,,,,
First,Matthew Ebden,6-3 7-6(1) 6-2,2012,m,Matthew Ebden,Joao Souza,AUS,BRA,70,65,10,8,3,2,82,63,52,41,199,202,182,182,140,151,25,50,45,27,114,85,34,32,32,52,63,69,42.64,25.83,,,,,,,,
First,Kei Nishikori,6-1 7-6(7) 6-0,2012,m,Kei Nishikori,Stephane Robert,JPN,FRA,71,49,7,2,0,7,77,62,48,34,189,194,169,180,137,136,58,33,52,31,107,71,35,26,25,35,64,76,36.96,21.08,,,,,,,,
First,Jo-Wilfried Tsonga,6-4 3-6 6-2 7-5,2012,m,Jo-Wilfried Tsonga,Denis Istomin,FRA,UZB,49,69,11,9,5,3,71,64,56,54,221,207,190,186,129,139,67,33,39,37,120,112,44,31,45,49,70,55,39.76,34.56,,,,,,,,
First,Mardy Fish,6-4 6-4 6-2,2012,m,Mardy Fish,Gilles Muller,USA,LUX,62,66,11,9,2,2,91,69,64,45,213,201,182,182,138,156,31,0,39,19,97,73,30,30,12,39,78,59,58.24,31.05,,,,,,,,
First,Philipp Kohlschreiber,7-5 4-6 6-3 6-7(4) 6-0,2012,m,Philipp Kohlschreiber,Juan Monaco,GER,ARG,59,71,9,2,2,1,76,62,59,50,205,203,175,168,143,147,57,38,42,31,163,134,54,30,61,67,65,80,44.84,31,,,,,,,,
First,Juan Martin Del Potro,2-6 6-1 7-5 6-4,2012,m,Juan Martin Del Potro,Adrian Mannarino,ARG,FRA,58,68,12,7,6,3,75,70,40,34,206,197,187,169,158,143,75,31,42,40,125,114,35,44,39,49,45,76,30,23.8,,,,,,,,
First,Alexandr Dolgopolov,1-6 4-6 6-1 6-1 6-2,2012,m,Alexandr Dolgopolov,Greg Jones,UKR,AUS,57,54,15,8,1,8,79,69,57,38,203,211,181,181,117,140,44,80,45,30,119,94,46,29,34,42,70,63,45.03,26.22,,,,,,,,
First,Bernard Tomic,4-6 6-7(3) 6-4 6-2 7-5,2012,m,Bernard Tomic,Fernando Verdasco,AUS,ESP,61,60,7,15,3,11,70,66,53,49,197,218,175,185,140,160,33,31,40,36,181,168,44,57,60,83,74,64,37.1,32.34,,,,,,,,
First,Tomas Berdych,7-5 4-6 6-2 6-3,2012,m,Tomas Berdych,Albert Ramos,CZE,ESP,52,52,7,4,6,4,88,69,52,52,214,192,192,166,142,141,71,50,39,29,124,102,39,24,43,51,57,88,45.76,35.88,,,,,,,,
First,Stanislas Wawrinka,6-1 6-1 7-5,2012,m,Stanislas Wawrinka,Benoit Paire,SUI,FRA,60,54,2,3,3,6,69,62,62,29,204,192,174,168,143,140,64,9,53,34,109,72,24,24,20,42,58,85,42.78,17.98,,,,,,,,
First,Marcos Baghdatis,6-1 7-6(5) 6-2,2012,m,Marcos Baghdatis,Benjamin Becker,CYP,GER,45,56,18,5,1,1,92,73,59,37,208,208,190,180,154,143,75,17,43,26,93,66,38,23,23,38,69,64,54.28,27.01,,,,,,,,
First,Grigor Dimitrov,4-6 6-3 3-6 6-4 6-4,2012,m,Grigor Dimitrov,Jeremy Chardy,BUL,FRA,58,54,12,19,6,8,74,83,52,48,212,212,190,197,155,155,27,14,34,35,148,148,41,59,38,49,76,66,38.48,39.84,,,,,,,,
First,Nicolas Almagro,1-6 7-5 6-3 7-5,2012,m,Nicolas Almagro,Lukasz Kubot,ESP,POL,64,54,15,7,3,16,76,72,47,47,215,211,180,187,140,163,36,25,40,35,138,127,40,56,12,60,55,63,35.72,33.84,,,,,,,,
First,John Isner,6-4 6-4 7-6(1),2012,m,John Isner,Benjamin Mitchell,USA,AUS,66,48,19,7,4,8,86,77,50,51,220,212,201,189,175,153,38,17,36,26,106,88,40,27,42,32,58,69,43,39.27,,,,,,,,
First,David Nalbandian,6-4 4-2 ret.,2012,m,David Nalbandian,Jarkko Nieminen,ARG,FIN,57,62,3,3,0,1,56,44,63,55,194,201,175,176,145,125,80,50,52,41,56,46,18,14,19,21,76,43,35.28,24.2,,,,,,,,
First,Rafael Nadal,6-4 6-1 6-1,2012,m,Rafael Nadal,Alex Kuznetsov,ESP,USA,68,65,9,5,2,2,86,49,65,46,197,207,180,188,137,149,60,0,52,21,88,49,42,16,14,26,85,36,55.9,22.54,,,,,,,,
Final,Novak Djokovic,6-7(2) 7-6(3) 6-3 6-2,2013,m,Novak Djokovic,Andy Murray,SRB,GBR,63,60,8,7,3,5,75,81,66,46,209,211,188,186,155,133,27,0,33,28,139,126,47,29,61,46,85,60,49.5,37.26,,,,,,,,
semi,Andy Murray,6-4 6-7(5) 6-3 6-7(2) 6-2,2013,m,Andy Murray,Roger Federer,GBR,SUI,64,61,21,5,0,2,75,73,63,42,215,205,192,186,140,155,38,33,39,29,177,151,62,43,47,60,67,66,47.25,30.66,,,,,,,,
quarter,Andy Murray,6-4 6-1 6-2,2013,m,Andy Murray,Jeremy Chardy,GBR,FRA,68,68,7,6,1,3,80,60,29,20,207,215,187,199,141,164,73,40,53,36,89,63,32,25,20,30,85,59,23.2,12,,,,,,,,
quarter,Roger Federer,7-6(4) 4-6 7-6(4) 3-6 6-3,2013,m,Roger Federer,Jo-Wilfried Tsonga,SUI,FRA,61,67,6,20,3,1,77,75,56,47,207,218,189,194,156,147,22,56,34,31,169,164,49,66,47,61,72,66,43.12,35.25,,,,,,,,
quarter,Novak Djokovic,6-1 4-6 6-1 6-4,2013,m,Novak Djokovic,Tomas Berdych,SRB,CZE,67,60,10,8,2,5,78,66,63,42,203,211,184,193,152,158,43,25,44,27,118,86,47,31,25,43,85,73,49.14,27.72,,,,,,,,
quarter,David Ferrer,4-6 4-6 7-5 7-6(4) 6-2,2013,m,David Ferrer,Nicolas Almagro,ESP,ESP,69,47,16,15,0,4,72,73,50,47,190,221,175,198,144,149,38,58,41,35,165,150,44,51,51,75,80,73,36,34.31,,,,,,,,
Fourth,Jeremy Chardy,5-7 6-3 6-2 6-2,2013,m,Jeremy Chardy,Andreas Seppi,FRA,ITA,65,63,11,9,10,3,77,69,47,36,216,201,199,183,162,146,40,18,43,34,133,110,47,34,42,44,83,68,36.19,24.84,,,,,,,,
Fourth,Jo-Wilfried Tsonga,6-4 3-6 6-3 6-2,2013,m,Jo-Wilfried Tsonga,Richard Gasquet,FRA,FRA,55,58,9,7,1,4,81,78,56,49,225,205,197,181,147,147,44,14,34,30,109,99,37,32,36,31,68,80,45.36,38.22,,,,,,,,
Fourth,Andy Murray,6-3 6-1 6-3,2013,m,Andy Murray,Gilles Simon,GBR,FRA,62,67,12,1,0,2,77,57,58,30,213,194,179,160,136,138,53,100,52,30,91,62,32,21,26,41,74,63,44.66,17.1,,,,,,,,
